Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating ,Smog rating,Recharge time (h)
2012,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2012,Nissan,LEAF,Mid-size,80,A1,B,19.3,23,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7
2013,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2013,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2013,Nissan,LEAF,Mid-size,80,A1,B,19.3,23,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7
2013,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2013,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2013,Tesla,Model S (40 kWh),Full-size,225,A1,B,22.4,21.9,22.2,2.5,2.5,2.5,224,0,n/a,n/a,6
2013,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2013,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2013,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2014,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,n/a,n/a,7
2014,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2014,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2014,Nissan,LEAF,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5
2014,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2014,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2014,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2014,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2014,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2015,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,n/a,n/a,4
2015,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,n/a,n/a,7
2015,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2015,Kia,Soul EV,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2,2.6,2.2,149,0,n/a,n/a,4
2015,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2015,Nissan,LEAF,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5
2015,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2015,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2015,Tesla,Model S (60 kWh),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2015,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,n/a,n/a,12
2015,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2015,Tesla,Model S 70D,Full-size,280,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,n/a,n/a,12
2015,Tesla,Model S 85D/90D,Full-size,280,A1,B,22,19.8,21,2.5,2.2,2.4,435,0,n/a,n/a,12
2015,Tesla,Model S P85D/P90D,Full-size,515,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,n/a,n/a,12
2016,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,n/a,n/a,4
2016,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,n/a,n/a,7
2016,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2016,Kia,Soul EV,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2,2.6,2.2,149,0,n/a,n/a,4
2016,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2016,Nissan,LEAF (24 kWh),Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5
2016,Nissan,LEAF (30 kWh),Mid-size,80,A1,B,17,20.7,18.6,1.9,2.3,2.1,172,0,n/a,n/a,6
2016,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2016,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2016,Tesla,Model S (60 kWh),Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,n/a,n/a,10
2016,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,n/a,n/a,12
2016,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21,21.3,2.4,2.4,2.4,401,0,n/a,n/a,12
2016,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2016,Tesla,Model S 60D,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,n/a,n/a,10
2016,Tesla,Model S 70D,Full-size,386,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,n/a,n/a,12
2016,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,n/a,n/a,12
2016,Tesla,Model S 85D/90D,Full-size,386,A1,B,22,19.8,21,2.5,2.2,2.4,435,0,n/a,n/a,12
2016,Tesla,Model S 90D (Refresh),Full-size,386,A1,B,20.8,19.7,20.3,2.3,2.2,2.3,473,0,n/a,n/a,12
2016,Tesla,Model S P85D/P90D,Full-size,568,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,n/a,n/a,12
2016,Tesla,Model S P90D (Refresh),Full-size,568,A1,B,22.9,21,22.1,2.6,2.4,2.5,435,0,n/a,n/a,12
2016,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20,21.5,2.5,2.3,2.4,507,0,n/a,n/a,12
2016,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23,22.2,22.6,2.6,2.5,2.5,322,0,n/a,n/a,10
2016,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21.9,22.5,2.6,2.5,2.5,383,0,n/a,n/a,12
2016,Tesla,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,n/a,n/a,12
2016,Tesla,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,n/a,n/a,12
2016,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,n/a,n/a,12
2017,BMW,i3 (60 Ah),Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,n/a,n/a,4
2017,BMW,i3 (94 Ah),Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2,183,0,n/a,n/a,5
2017,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19,17.6,1.8,2.1,2,383,0,n/a,n/a,9.3
2017,Ford,Focus Electric,Compact,107,A1,B,17.7,21.8,19.6,2,2.5,2.2,185,0,n/a,n/a,5.5
2017,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,n/a,n/a,4
2017,Kia,Soul EV,Station wagon: Small,81,A1,B,17.4,23,19.9,2,2.6,2.2,150,0,n/a,n/a,4
2017,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,20.5,18.7,1.9,2.3,2.1,100,0,n/a,n/a,7
2017,Nissan,LEAF,Mid-size,80,A1,B,17,20.7,18.6,1.9,2.3,2.1,172,0,n/a,n/a,6
2017,Tesla,Model S (60 kWh),Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,n/a,n/a,10
2017,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21,21.3,2.4,2.4,2.4,401,0,n/a,n/a,12
2017,Tesla,Model S 60D,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,n/a,n/a,10
2017,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,n/a,n/a,12
2017,Tesla,Model S 90D,Full-size,386,A1,B,20.6,19.7,20.2,2.3,2.2,2.3,473,0,n/a,n/a,12
2017,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,n/a,n/a,12
2017,Tesla,Model S P90D,Full-size,568,A1,B,22.8,20.9,22,2.6,2.3,2.5,435,0,n/a,n/a,12
2017,Tesla ,Model S P100D,Full-size,568,A1,B,22.6,20,21.5,2.5,2.3,2.4,507,0,n/a,n/a,12
2017,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23,22.2,22.6,2.6,2.5,2.5,322,0,n/a,n/a,10
2017,Tesla ,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21.9,22.5,2.6,2.5,2.5,383,0,n/a,n/a,12
2017,Tesla ,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,n/a,n/a,12
2017,Tesla ,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24,2.7,2.7,2.7,475,0,n/a,n/a,12
2017,Tesla ,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,n/a,n/a,12
2017,Tesla ,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,n/a,n/a,12
2017,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2,201,0,n/a,n/a,5.3
2018,BMW,i3,Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2,183,0,n/a,n/a,5
2018,BMW,i3s,Subcompact,135,A1,B,17.1,21.1,18.9,1.9,2.4,2.1,172,0,n/a,n/a,5
2018,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19,17.6,1.8,2.1,2,383,0,n/a,n/a,9.3
2018,Ford,Focus Electric,Compact,107,A1,B,17.7,21.8,19.6,2,2.5,2.2,185,0,n/a,n/a,5.5
2018,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,n/a,n/a,4
2018,Kia,Soul EV,Station wagon: Small,81,A1,B,16.8,22.4,19.3,1.9,2.5,2.2,179,0,n/a,n/a,5
2018,Nissan,LEAF,Mid-size,110,A1,B,16.9,21.1,18.8,1.9,2.4,2.1,242,0,n/a,n/a,8
2018,smart,fortwo electric drive cabriolet,Two-seater,60,A1,B,18.7,23.1,20.7,2.1,2.6,2.3,92,0,n/a,n/a,3
2018,smart,fortwo electric drive coupe,Two-seater,60,A1,B,16.9,22.3,19.3,1.9,2.5,2.2,93,0,n/a,n/a,3
2018,Tesla,Model 3 Mid Range,Mid-size,202,A1,B,16.4,17.9,17.1,1.8,2,1.9,418,0,n/a,n/a,10
2018,Tesla,Model 3 Long Range,Mid-size,202,A1,B,15.3,17,16.1,1.7,1.9,1.8,499,0,n/a,n/a,10
2018,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17.4,18.7,18,2,2.1,2,499,0,n/a,n/a,10
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17.4,18.7,18,2,2.1,2,499,0,n/a,n/a,10
2018,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21,21.3,2.4,2.4,2.4,401,0,n/a,n/a,12
2018,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,n/a,n/a,12
2018,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,n/a,n/a,12
2018,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20,21.5,2.5,2.3,2.4,507,0,n/a,n/a,12
2018,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21.9,22.5,2.6,2.5,2.5,383,0,n/a,n/a,12
2018,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24,2.7,2.7,2.7,475,0,n/a,n/a,12
2018,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.4,23.6,24.6,2.8,2.7,2.8,465,0,n/a,n/a,12
2018,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2,201,0,n/a,n/a,5.3
2019,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,28,28.5,28.3,3.2,3.2,3.2,329,0,n/a,n/a,10
2019,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2019,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2019,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19,17.6,1.8,2.1,2,383,0,n/a,n/a,9.3
2019,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,n/a,n/a,4
2019,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16.2,19.3,17.4,1.8,2.2,2,415,0,n/a,n/a,9
2019,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26.2,29.1,27.5,2.9,3.3,3.1,377,0,n/a,n/a,13
2019,Kia,Niro EV,Station wagon: Small,150,A1,B,17,20.6,18.6,1.9,2.3,2.1,385,0,n/a,n/a,9.5
2019,Kia,Soul EV,Station wagon: Small,81,A1,B,16.8,22.4,19.3,1.9,2.5,2.2,179,0,n/a,n/a,5
2019,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,16.8,21,18.7,1.9,2.4,2.1,243,0,n/a,n/a,8
2019,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2,2.4,2.2,363,0,n/a,n/a,11
2019,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20,2.1,2.5,2.2,349,0,n/a,n/a,11
2019,smart EQ,fortwo cabriolet,Two-seater,60,A1,B,18.7,23.1,20.7,2.1,2.6,2.3,92,0,n/a,n/a,3
2019,smart EQ,fortwo coupe,Two-seater,60,A1,B,16.9,22.3,19.3,1.9,2.5,2.2,93,0,n/a,n/a,3
2019,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151,0,n/a,n/a,3.7
2019,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14.9,16.8,15.8,1.7,1.9,1.8,386,0,n/a,n/a,8.5
2019,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16.4,17.9,17.1,1.8,2,1.9,425,0,n/a,n/a,10
2019,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15.3,17,16.1,1.7,1.9,1.8,499,0,n/a,n/a,10
2019,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17.4,18.7,18,2,2.1,2,499,0,n/a,n/a,10
2019,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17.4,18.7,18,2,2.1,2,499,0,n/a,n/a,10
2019,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,n/a,n/a,12
2019,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,n/a,n/a,12
2019,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20,21.5,2.5,2.3,2.4,507,0,n/a,n/a,12
2019,Tesla,Model S Standard Range,Full-size,398,A1,B,18.5,20,19.2,2.1,2.2,2.2,459,0,n/a,n/a,9
2019,Tesla,Model S Long Range,Full-size,398,A1,B,18.2,19.5,18.8,2,2.2,2.1,595,0,n/a,n/a,12
2019,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,555,0,n/a,n/a,12
2019,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,523,0,n/a,n/a,12
2019,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21.9,22.5,2.6,2.5,2.5,383,0,n/a,n/a,12
2019,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24,2.7,2.7,2.7,475,0,n/a,n/a,12
2019,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.4,23.6,24.6,2.8,2.7,2.8,465,0,n/a,n/a,12
2019,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20,21.5,20.7,2.2,2.4,2.3,410,0,n/a,n/a,9
2019,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,523,0,n/a,n/a,12
2019,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,580,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491,0,n/a,n/a,12
2019,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,580,A1,B,26.2,27.1,26.6,2.9,3,3,435,0,n/a,n/a,12
2019,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2,201,0,n/a,n/a,5.3
2020,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27.6,26.9,27.3,3.1,3,3.1,351,0,n/a,n/a,10
2020,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2020,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2020,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.5,19.5,17.8,1.9,2.2,2,417,0,n/a,n/a,10
2020,Hyundai,IONIQ Electric,Mid-size,100,A1,B,14.5,17.4,15.8,1.6,1.9,1.8,274,0,n/a,n/a,5.8
2020,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16.2,19.3,17.4,1.8,2.2,2,415,0,n/a,n/a,9
2020,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26.2,29.1,27.5,2.9,3.3,3.1,377,0,n/a,n/a,13
2020,Kia,Niro EV,Station wagon: Small,150,A1,B,17,20.6,18.6,1.9,2.3,2.1,385,0,n/a,n/a,9.5
2020,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,15.5,20.5,18,1.8,2.3,2,248,0,n/a,n/a,6
2020,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,16.8,21.1,18.6,1.9,2.4,2.1,383,0,n/a,n/a,9.5
2020,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,18.2,20.9,19.4,2,2.3,2.2,177,0,n/a,n/a,4
2020,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,17,21.2,18.9,1.9,2.4,2.1,240,0,n/a,n/a,8
2020,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2,2.4,2.2,363,0,n/a,n/a,11
2020,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20,2.1,2.5,2.2,349,0,n/a,n/a,11
2020,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,30.9,29.6,30.3,3.5,3.3,3.4,327,0,n/a,n/a,10.5
2020,Porsche,Taycan Turbo,Compact,460,A2,B,30.9,29.5,30.2,3.5,3.3,3.4,323,0,n/a,n/a,10
2020,Porsche,Taycan Turbo S,Compact,460,A2,B,31.3,30.7,31,3.5,3.4,3.5,309,0,n/a,n/a,10.5
2020,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151,0,n/a,n/a,3.7
2020,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14.1,15.9,14.9,1.6,1.8,1.7,402,0,n/a,n/a,8.5
2020,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16.4,17.9,17.1,1.8,2,1.9,425,0,n/a,n/a,10
2020,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15.3,17,16.1,1.7,1.9,1.8,531,0,n/a,n/a,10
2020,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,16.9,18,17.4,1.9,2,2,518,0,n/a,n/a,10
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,358,A1,B,16.9,18,17.4,1.9,2,2,518,0,n/a,n/a,10
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,358,A1,B,17.6,18.7,18.1,2,2.1,2,489,0,n/a,n/a,10
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,358,A1,B,17.8,19.6,18.6,2,2.2,2.1,481,0,n/a,n/a,10
2020,Tesla,Model S Standard Range,Full-size,398,A1,B,18.5,20,19.2,2.1,2.2,2.2,462,0,n/a,n/a,9
2020,Tesla,Model S Long Range,Full-size,398,A1,B,18.2,19.5,18.8,2,2.2,2.1,600,0,n/a,n/a,12
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398,A1,B,17.2,18.9,18,1.9,2.1,2,629,0,n/a,n/a,12
2020,Tesla,Model S Long Range Plus,Full-size,398,A1,B,17.3,18.8,17.9,1.9,2.1,2,647,0,n/a,n/a,12
2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,560,0,n/a,n/a,12
2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,525,0,n/a,n/a,12
2020,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20,21.5,20.7,2.2,2.4,2.3,415,0,n/a,n/a,9
2020,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,528,0,n/a,n/a,12
2020,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,398,A1,B,19.3,20.8,20,2.2,2.3,2.2,565,0,n/a,n/a,12
2020,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,580,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491,0,n/a,n/a,12
2020,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,580,A1,B,26.2,27.1,26.6,2.9,3,3,438,0,n/a,n/a,12
2020,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,358,A1,B,16.5,18.3,17.3,1.9,2.1,1.9,509,0,n/a,n/a,10
2020,Tesla,Model Y Performance,Sport utility vehicle: Small,358,A1,B,16.3,18.7,17.4,1.8,2.1,2,507,0,n/a,n/a,10
2020,Tesla,"Model Y Performance (21"" Wheels)",Sport utility vehicle: Small,358,A1,B,18.1,19.8,18.9,2,2.2,2.1,468,0,n/a,n/a,10
2020,Volkswagen,e-Golf,Compact,100,A1,B,17.4,19.9,18.6,1.9,2.3,2.1,198,0,n/a,n/a,5.3
2021,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,26.9,27,27,3,3,3,357,0,n/a,n/a,10
2021,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27.6,27,27.3,3.1,3,3.1,351,0,n/a,n/a,10
2021,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2021,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,n/a,n/a,7
2021,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.5,19.5,17.8,1.9,2.2,2,417,0,n/a,n/a,10
